protein1	protein2
LYN	RPS6KB1
PRKCZ	RPS6KB1
SRC	RPS6KB1
SYK	RPS6KB1
BTK	RPS6KB2
LYN	RPS6KB2
SYK	RPS6KB2
SRC	DAG1
GRK5	AVPR2
PIK3R1	EPHA2
FYN	FYB
ABL1	SPTA1
PDK1	PKN1
CHUK	CHUK
SYK	SYK
LCK	PI4KA
BTK	FYN
RIPK4	PRKCB
NEK2	NEK2
IGF1R	PTK2
MAP4K1	EGFR
EPHA3	EFNB2
PRKDC	ILF3
MAP3K14	MAP3K14
SYK	PRKD1
MAP3K7	MAP3K7
DAPK2	DAPK2
RYK	EPHB2
RYK	EPHB3
HCK	CSF3R
MAP3K6	MAP3K5
TNK2	CLTC
MAPK14	CSNK2A1
FYN	CSF1R
BTK	CBLB
NME2	NME2
FYN	EPHB3
ITK	FYN
ITK	SRC
MAP3K10	CLTC
TRPM7	PLCG1
TRPM7	PLCB1
TRPM7	PLCB2
TRPM7	PLCB3
PIK3R1	NFKBIA
TTN	OBSCN
STK16	ELK1
STK16	STK16
TNK1	TNK1
CDK5	CDK16
PRPSAP1	PRPS2
PTK2	PTK2
RAF1	PHB
RAF1	BAG1
MATK	KIT
YES1	RPL10
SRC	RPL10
LYN	RPL10
FYN	RPL10
HCK	RPL10
EPHB2	EPHB2
SYK	FGR
NTRK1	NTRK1
PIK3R1	TUBA1B
PIK3R1	AGAP2
PIK3R1	CD7
PIK3R1	FES
PIK3R1	INPP5D
PIK3R1	ADAM12
ITK	ITK
MAP3K12	MAP2K7
MAPKAPK3	MAPK14
MAPK14	MAPK14
EIF2AK2	EIF2AK2
IKBKB	EIF2AK2
MAP2K1	MAP2K1
MAP2K2	MAP2K2
MAP3K4	MAP2K1
PRKCB	TIAM1
PRKCA	GNB2L1
PRKCB	PDLIM5
PRKCE	PIK3CB
SRC	GNB2L1
PAK2	DOCK2
STK17A	STK17A
STK17B	STK17B
ACVR1B	ACVR1
EIF2AK2	HIST2H2AC
GRK5	GRK5
LIMK1	LIMK1
SMG1	SMG1
PIK3R1	HCST
BMPR2	BMPR2
BMPR1B	BMPR1B
BMPR1A	BMPR1A
LMTK2	LMTK2
DGKD	DGKD
FER	EGFR
TNK2	HSH2D
TGM2	TGM2
PRKCB	CDK1
FYN	FYN
FYN	GNB2L1
NME1	PRUNE
BTK	BTK
FGFR1	BNIP2
LYN	CSF1R
PTK2B	ERBB2
IKBKB	IKBKB
PAK1	PAK1
PIK3R1	CBLB
IRAK1	IRAK1
MAP2K5	MAP2K5
MAPK7	MAPK7
IGF1R	GNB2L1
PKN2	PKN2
CDK9	CDK9
TGFBR1	MAPK14
IGF1R	CBL
IGF1R	EEA1
PRKAG3	PRKAB1
PRKAG3	PRKAB2
PRKCB	RBCK1
AKT1	MARK2
TRIB3	HRSP12
TRIB3	TIAF1
EPHB2	ABL1
ABL1	EPHA3
VRK1	VRK1
STK4	HIST2H2BE
TRRAP	ATXN7
VRK1	HIST2H3C
VRK1	HIST2H2BE
BRD4	HIST2H3C
CDK5	PARK2
LIMK1	PARK2
MARK2	DTNA
MARK2	MARK1
MARK2	GPRASP1
MARK2	COL4A3BP
MARK2	C11orf58
MARK2	CEP85L
PLK1	C2orf44
PLK1	BICD1
PLK1	DCTPP1
PLK1	FABP3
PLK1	ANKRD44
PLK1	OSBPL6
PLK1	LPL
PLK1	BTN1A1
PLK1	ANKRD52
PLK1	GTF3C3
CDK9	CCDC87
CDK9	RQCD1
CDK9	KPNA2
CDK9	CCT3
CDK9	IGF2BP2
CDK9	ARID3B
CDK9	DTYMK
CDK9	MRPS27
CDK9	EXOSC5
CDK9	HSPD1
CDKL5	CDKL5
ALK	PIK3CB
ALK	EPHB2
PRKCB	HSPA4
RPS6KA2	RPS6KA2
IRAK1	BCL10
EGFR	ALDOA
EGFR	SEPP1
EGFR	COL9A3
EGFR	CEND1
EGFR	DNAJC4
LRRK2	PARK2
CAMKK2	GCN1L1
PDPK1	G3BP1
PIK3C3	KIAA0226
PRKAA1	PA2G4
PRKAA1	G3BP1
PRKAA2	PRKAA1
PRKAA2	MAST3
PRKAA2	MAP3K5
PRKAA2	MAP3K6
PRKAA2	GYG1
PRKAA2	PIK3CG
PRKAA2	AGL
PRKAA2	FNIP1
PRKAB1	NSF
PRKAB1	CASP14
PRKAB2	MAP3K6
PRKAB2	AGL
PRKAB2	GCN1L1
PRKAG1	MCM2
PRKAG2	MAP1B
PRKAG2	MAP1LC3A
PRKAG2	FKBP4
PRKAG2	ASNS
STK3	PLK1
STK3	FREM1
ULK1	PRKAG1
ULK1	PRKAB2
MAPK14	AES
PRKACA	CLTC
WNK1	CLTC
MAP3K5	DMD
WNK1	FLNC
MAPK7	GOLGB1
MAP4K5	HCK
MKNK1	HSP90AB1
WNK1	ATP8
MKNK1	DNAJC7
WNK1	ZYX
WNK1	CSDE1
MAP4K4	HIST2H2BE
WNK1	TSC22D1
WNK1	BAG3
RIPK1	CDC42BPB
WNK1	RANBP9
MAP3K2	PIBF1
MAP3K11	COPS5
MAP4K3	COPS5
MAP4K5	COPS5
WNK1	COPS5
WNK1	TNRC6A
MAP4K3	ITSN2
PRKACA	CCDC88A
MAPK14	SMEK1
WNK1	ZNF106
MAPK14	CCDC14
WNK1	WNK1
PAK1	C5orf42
MAP3K10	KIAA1804
MAPK14	CCDC97
MAPK14	ELMSAN1
MAPK14	DDX26B
SRC	PDGFRB
PBK	H2AFX
MAPK8	H2AFX
GTF2F1	TRIM27
HIPK2	HIPK2
BAZ1B	DEK
NLK	HIPK2
TSSK6	HIST2H2AC
TSSK6	HIST1H3A
TSSK6	H2AFX
CDK2	NOV
AKT1	NOTCH1
PDGFRB	ADRBK1
DYRK1A	HIST1H2BB
DYRK1A	HIST1H3A
DYRK1A	HIST1H4A
FGFR1	JAK2
HCK	SRC
GSK3B	GSK3B
CHUK	HIST2H3C
PIM1	HIST2H3C
PIM1	MYC
GSG2	HIST1H3A
PDK1	SGK1
TAF1	HIST1H4A
TAF1	HIST1H3A
TGM2	HIST3H3
PRKDC	HIST1H1A
RPS6KA3	H2AFX
IGF1R	ERBB2
EIF2AK4	GGNBP1
TRRAP	CCDC101
PRKDC	PRKDC
PINK1	PARK2
ABL1	PARK2
IKBKB	PRKCI
IKBKB	PRKCD
IGF1R	CAMP
CSNK1A1	BCL10
TNK2	NEDD4
RYK	PRKDC
RYK	GPR125
RYK	PTK7
RYK	MAPK1
RYK	AGK
RYK	GPR124
RYK	MAPK3
RYK	ITM2B
RYK	PTPRS
RYK	PCDH7
RYK	PCDH20
RYK	CDK1
RYK	EPHA4
TNK2	CLTA
TNK2	AMPH
TNK2	BIN1
TNK2	FABP4
TNK2	NEDD4L
SRC	TNK2
PRKAA1	SIK1
PRKAA1	SIK2
PRKAA1	NUAK1
PRKAA1	BRSK1
PRKAA1	MARK4
PRKAA1	SNRK
CDK1	HIST1H1D
LYN	NDFIP2
IGF1R	ARRB2
IGF1R	TP53
CAMK2B	CAMK2B
AKT1	ERBB3
MAP2K4	ITCH
TBK1	NCOA2
DYRK2	VPRBP
DYRK2	EEF1A1P5
RPS6KA5	HIST2H3C
RPS6KA5	HIST2H2BE
RPS6KA5	HIST2H4A
PRKCI	MARK4
MARK4	CYFIP2
PRKCI	GBAS
BUB1	CASC5
AURKA	AURKA
BUB1B	BUB1B
TTK	TTK
MARK2	MARK2
BUB1	BUB1
PAK1	HIST1H4A
EGFR	ATP5C1
PRKCQ	FYB
MAP3K7	FYB
PRKCQ	BCL10
ABL1	BAG1
LATS1	ITCH
TNIK	SOS1
TNIK	HARS
MAPK1	ID2
MAPK3	CPXM1
MAPK3	FKBP2
PIK3CA	NEDD9
PIK3R1	ADAMTS2
PIK3R1	CXCL2
PIK3R1	CYP4A11
PIK3R1	TTR
MAPK1	IFI35
NLK	ASGR1
PIK3CA	AMBP
PIK3CA	ATPIF1
PIK3CA	DDX5
PIK3CA	DNAJB6
PIK3CA	ITIH1
PIK3CA	UFD1L
MAPK14	CENPC
MAPK14	EPB42
MAPK13	AKIP1
MAPK13	ANKLE2
IRAK1	ADCK3
IRAK1	TOMM70A
IRAK2	ARAF
IRAK2	ADCK3
IRAK3	IRAK2
EIF2AK2	GLTSCR2
PAK6	MAPK14
CDK5	ALAS1
CSNK1E	CADM4
CSNK1E	BBS10
CSNK1E	C2orf44
CSNK1E	ARHGEF1
MKNK1	DDAH2
MKNK1	ATXN3
GSK3B	ENTPD6
GSK3B	ADIRF
GSK3B	CST6
GSK3B	BRIX1
GSK3B	GNB2
GSK3B	DNAJC13
GSK3B	C14orf1
GSK3B	GBP2
GSK3B	BAG6
GSK3B	CHD3
GSK3B	CEBPZ
GSK3B	GJB5
GSK3B	DNMT3L
GSK3B	CENPB
GSK3B	BZW2
GSK3B	FBN3
GSK3B	MGEA5
GSK3B	FKBP14
GSK3B	ATPIF1
GSK3B	ASRGL1
GSK3B	DHX34
GSK3B	DEFA1
GSK3B	DBI
GSK3B	FAM83D
GSK3B	GPR39
GSK3B	CLEC3B
NEK2	IMMT
NEK2	EIF4A2
NEK2	MCC
NEK2	IFT140
NEK2	CCDC85A
NEK2	EDRF1
NEK2	CHGA
MAPKAPK3	COPS6
MAPKAPK3	EZH2
MAPKAPK3	IGHM
CSNK1G1	C2orf44
RPS6KA3	EIF3C
RPS6KA3	ATP5J
RPS6KA3	BARX1
RPS6KA3	MASP1
MAPK8	ZNF605
MAPK8	FAM193B
MAPK8	BMPR2
MAPK8	CCDC88C
MAP2K5	ASRGL1
RPS6KA1	DDAH2
RPS6KA1	ATXN3
RPS6KA1	PHAX
RPS6KA1	CCT4
CSNK2B	ADD1
CSNK2B	COL4A2
CSNK2B	ATG101
CSNK2B	ACTR5
CSNK2B	C9orf114
CSNK2B	CENPB
CSNK2B	CCDC115
CSNK2B	APLP1
CSNK2B	ADRBK1
CSNK2B	MGEA5
CSNK2B	CPNE7
CSNK2B	C6orf136
CSNK2B	ANGPT2
CSNK2B	CPSF3L
CSNK2B	ACTL6B
CSNK2B	CIC
CSNK2B	CHRNA4
PRKCZ	NMT2
PRKCZ	DENND5A
PRKCZ	CCDC115
RPS6KB1	DPPA4
RPS6KB1	CLEC3B
CSNK1D	HN1L
PRKAR1A	C2orf44
