protein1	protein2
NEK11	SFN
NEK11	SLC25A1
NEK11	FKBP8
NEK11	CDC37
NEK11	FAR1
NEK11	YME1L1
NEK11	VAPA
NEK11	SLC25A10
NEK11	SLC25A13
ADCK3	ESYT2
ADCK3	ILVBL
ADCK3	PGRMC1
ADCK3	NDUFA4
ADCK3	SCAMP3
ADCK3	XPO1
ADCK3	PGRMC2
ADCK3	CYB5B
ADCK3	CALU
ADCK3	ACSL4
ADCK3	ERLIN1
ADCK3	ATP5H
ADCK3	UBR5
ADCK3	AHSA1
ADCK3	ACSL3
ADCK3	CYB5R3
ADCK3	HLA-A
ADCK3	RPN1
ADCK3	RPN2
ADCK3	ATP1A1
ADCK3	APOD
ADCK3	CLU
ADCK3	IMPDH2
ADCK3	ATP2A2
ADCK3	PFKL
ADCK3	ATP5J
ADCK3	POLR2E
ADCK3	VDAC1
ADCK3	TUBG1
ADCK3	ATP5F1
ADCK3	CAD
ADCK3	CANX
ADCK3	UQCRC1
ADCK3	LONP1
ADCK3	FDFT1
ADCK3	DDOST
ADCK3	TMPO
ADCK3	RBM34
ADCK3	LRPPRC
ADCK3	GPD2
ADCK3	NSF
ADCK3	MAP1B
ADCK3	STT3A
ADCK3	SERPINH1
ADCK3	RAB5C
ADCK3	RAB7A
ADCK3	BCAP31
ADCK3	ALDH3A2
ADCK3	SLC16A1
ADCK3	ATP1B3
ADCK3	CSE1L
ADCK3	ATP5J2
ADCK3	CDC42
ADCK3	RAB2A
ADCK3	RAB10
ADCK3	DCAF7
ADCK3	RAB11A
ADCK3	DYNLL1
ADCK3	PRKDC
ADCK3	PLOD1
ADCK3	DCTN2
ADCK3	DYNC1H1
ADCK3	TCEB2
ADCK3	SLC1A5
ADCK3	ATP6AP1
ADCK3	MRPL23
ADCK3	HEATR6
ADCK3	MRPL41
ADCK3	PNPLA6
ADCK3	LPCAT1
ADCK3	NUP210
ADCK3	PTPMT1
ADCK3	NUP133
ADCK3	NUDT8
ADCK3	FAR1
ADCK3	BRI3BP
ADCK3	MRPS27
ADCK3	GCN1L1
ADCK3	LRRC59
ADCK3	PTCD3
ADCK3	COG3
ADCK3	ZFR
ADCK3	SIN3A
ADCK3	MMS19
ADCK3	YME1L1
ADCK3	ESYT1
ADCK3	MRPL1
ADCK3	TRABD
ADCK3	MOV10
ADCK3	MRPL16
ADCK3	VAPA
ADCK3	MRPL27
ADCK3	SLC25A10
ADCK3	STOML2
ADCK3	MAGED2
ADCK3	SSR3
ADCK3	EIF3L
ADCK3	MRPS23
ADCK3	GTF3C5
ADCK3	GTF3C3
UHMK1	CNOT1
UHMK1	SEC16A
UHMK1	PFDN6
UHMK1	CNOT3
UHMK1	UBR5
UHMK1	NUP214
UHMK1	LONP1
UHMK1	GYG1
UHMK1	UBE2M
UHMK1	VBP1
UHMK1	BTG3
UHMK1	INF2
UHMK1	EFHC1
UHMK1	UBR4
UHMK1	RNF219
UHMK1	MRPL41
UHMK1	RAVER1
UHMK1	RQCD1
UHMK1	CNOT6L
UHMK1	PFDN5
UHMK1	TNKS1BP1
UHMK1	TRABD
UHMK1	CNOT10
UHMK1	GPBP1L1
UHMK1	PFDN4
UHMK1	GLTSCR2
UHMK1	CNOT2
UHMK1	CNOT7
UHMK1	CNOT11
UHMK1	AKAP8L
MAPK15	TIMM8A
MAPK15	APRT
MAPK15	STIP1
MAPK15	DDOST
MAPK15	ALDH7A1
MAPK15	ST13
MAPK15	ACLY
MAPK15	EIF5A
MAPK15	CDK5
MAPK15	FKBP4
MAPK15	FKBP5
MAPK15	GANAB
MAPK15	PTGES3
MAPK15	DBN1
MAPK15	HSP90AB4P
MAPK15	TAOK1
MAPK15	C2CD5
MAPK15	ERC1
MAPK15	CACYBP
MAPK15	TIMM8B
BRSK1	IMPDH2
BRSK1	IDE
BRSK1	ACO1
BRSK1	HADHA
BRSK1	GSK3A
BRSK1	HADHB
BRSK1	OBSCN
BRSK1	USP9X
BRSK1	FBXW7
BRSK1	EXOSC8
BRSK1	CPVL
BRSK1	NT5DC2
BRSK1	PPP6R1
BRSK1	NINL
STK35	SERPINB4
STK35	POLR2H
STK35	AK2
NEK7	SUPT5H
NEK7	PSMD14
NEK7	AP3D1
NEK7	POLR3A
NEK7	SEC16A
NEK7	SPAG9
NEK7	SBF1
NEK7	AHSA1
NEK7	PGK1
NEK7	ALDH2
NEK7	EIF2S1
NEK7	GPI
NEK7	ASNS
NEK7	ANXA5
NEK7	MTHFD1
NEK7	PCNA
NEK7	XRCC5
NEK7	EEF2
NEK7	HSP90B1
NEK7	EZR
NEK7	CTPS1
NEK7	PAICS
NEK7	UBA1
NEK7	WARS
NEK7	MCM3
NEK7	APEX1
NEK7	TKT
NEK7	PRDX6
NEK7	SHMT2
NEK7	TMPO
NEK7	MSH2
NEK7	RANBP1
NEK7	FASN
NEK7	AARS
NEK7	CTCF
NEK7	GDI2
NEK7	PGD
NEK7	ACLY
NEK7	SUB1
NEK7	AK2
NEK7	UBE2M
NEK7	UBE2N
NEK7	HSPE1
NEK7	SUMO2
NEK7	EIF5A
NEK7	SRPK2
NEK7	CAP1
NEK7	FKBP4
NEK7	GLO1
NEK7	FHL1
NEK7	TRIM25
NEK7	GANAB
NEK7	NCAPD2
NEK7	PDIA6
NEK7	SLC1A5
NEK7	DPYSL2
NEK7	CPSF6
NEK7	HADH
NEK7	INF2
NEK7	LARP1
NEK7	DCXR
NEK7	LPCAT1
NEK7	PSPC1
NEK7	DDX1
NEK7	GCN1L1
NEK7	HDAC2
NEK7	GGH
NEK7	GLG1
NEK7	KHSRP
NEK7	TUBGCP3
NEK7	LTV1
NEK7	NAF1
NEK7	TBCB
NEK7	PARK7
NEK7	ACO2
NEK7	CPNE1
NEK7	LUC7L
NEK7	OLA1
NEK7	UBA2
NEK7	G3BP2
NEK7	ZC3H4
NEK7	LUC7L2
TBCK	MYO1C
TBCK	SPTBN2
TBCK	EPB41L2
TBCK	ACTN4
TBCK	MYO1B
TBCK	DKC1
TBCK	WDR1
TBCK	PMPCB
TBCK	SRSF10
TBCK	FLOT1
TBCK	LMNA
TBCK	TP53
TBCK	GNAI2
TBCK	NEFL
TBCK	LYN
TBCK	GNAI3
TBCK	SNRPA
TBCK	SNRPC
TBCK	H2AFZ
TBCK	SRC
TBCK	CD59
TBCK	XRCC1
TBCK	ADD1
TBCK	HADHA
TBCK	FRK
TBCK	CBX5
TBCK	CAPZB
TBCK	CAPZA1
TBCK	GNB1
TBCK	GNB2
TBCK	CSNK2A1
TBCK	BASP1
TBCK	SPTBN1
TBCK	KIF23
TBCK	TJP1
TBCK	PMPCA
TBCK	CBX3
TBCK	CAMK2D
TBCK	SPTAN1
TBCK	DSG2
TBCK	PLEC
TBCK	INA
TBCK	DBN1
TBCK	HIST2H2AC
TBCK	IMMT
TBCK	GNAS
TBCK	RAD50
TBCK	CEP63
TBCK	RBM14
TBCK	PPP1R9B
TBCK	PKP2
TBCK	CHMP4B
TBCK	VTA1
TBCK	CHCHD3
TBCK	BCLAF1
TBCK	TMOD3
TBCK	ADD3
TBCK	LIMA1
TBCK	ACIN1
TBCK	PPP1R9A
TBCK	MYO5B
TBCK	CORO1C
TBCK	CFL2
TBCK	THRAP3
TBCK	MYO5A
GSG2	MYO1C
GSG2	PPP1R12A
GSG2	SPTBN2
GSG2	EPB41L2
GSG2	ACTN4
GSG2	MYO1B
GSG2	WDR1
GSG2	RP2
GSG2	PALM
GSG2	FLOT1
GSG2	MYO1D
GSG2	SVIL
GSG2	PRNP
GSG2	TP53
GSG2	GNAI2
GSG2	FYN
GSG2	YES1
GSG2	LYN
GSG2	GNAI3
GSG2	RALA
GSG2	CD59
GSG2	MCM3
GSG2	MYH10
GSG2	ADD1
GSG2	HADHA
GSG2	MKI67
GSG2	CAPZB
GSG2	MARCKSL1
GSG2	CAPZA1
GSG2	CACNA2D1
GSG2	RRAS2
GSG2	GNB1
GSG2	GNB2
GSG2	RAC1
GSG2	GNAI1
GSG2	CSNK1G2
GSG2	BASP1
GSG2	SPTBN1
GSG2	AHNAK
GSG2	CNTN1
GSG2	SQSTM1
GSG2	SPTAN1
GSG2	DSG2
GSG2	FLOT2
GSG2	DBN1
GSG2	GNAS
GSG2	MOXD1
GSG2	MPRIP
GSG2	PHF5A
GSG2	FMNL3
GSG2	SMPDL3B
GSG2	PPP1R9B
GSG2	CEP89
GSG2	GLIPR2
GSG2	CSNK1G1
GSG2	WDR6
GSG2	TMOD3
GSG2	GNG12
GSG2	LIMA1
GSG2	PNMA2
GSG2	PPP1R9A
GSG2	CORO1C
GSG2	EPB41L3
GSG2	CSNK1G3
GSG2	SCIN
GRK7	H2AFZ
GRK7	TOP2A
GRK7	MKI67
GRK7	AHNAK
GRK7	MOGS
GRK7	FKBP8
GRK7	WTAP
GRK7	CDC37
GRK7	SLC35E1
GRK7	TIMM21
GRK7	CPVL
STK32A	TCP1
STK32A	CCT6A
STK32A	CCT5
STK32A	CCT3
STK32A	CCT8
STK32A	CCT2
STK32A	PRKCE
STK32A	FKBP5
STK32A	CCT7
MYO3B	CALU
MYO3B	IKBKAP
MYO3B	APOD
MYO3B	DNAJB1
MYO3B	MRPS11
MYO3B	MRPS15
MYO3B	MRPS34
MYO3B	C1QBP
MYO3B	RCN2
MYO3B	FKBP8
MYO3B	RRP1B
MYO3B	LBR
MYO3B	DDB1
MYO3B	CHCHD2P9
MYO3B	DHX30
MYO3B	KRI1
MYO3B	DDX54
MYO3B	MRPS31
MYO3B	USP9X
MYO3B	SIRT1
MYO3B	PTCD3
MYO3B	C7orf50
MYO3B	RPAP3
MYO3B	PIH1D1
MYO3B	KL
MYO3B	AKAP8L
MYO3B	STUB1
MYO3B	MRPS28
MYO3B	SUGT1
MYO3B	NOC2L
MYO3B	MRPS18B
TRIB2	H2AFY
TRIB2	TOP2A
TRIB2	HMGA1
TRIB2	MKI67
TRIB2	BASP1
TRIB2	SAFB2
TRIB2	IMMT
TRIB2	RBM14
TRIB2	BCLAF1
TRIB2	RALY
TRIB2	THRAP3
TRIB2	CHTOP
DYRK2	ZSWIM8
DYRK2	CCNT1
DYRK2	ZRANB2
DYRK2	APOD
DYRK2	CAPZA2
DYRK2	TAF6
DYRK2	NCBP2
DYRK2	WDR5
DYRK2	GNB2L1
DYRK2	MRPS5
DYRK2	PURA
DYRK2	NCBP1
DYRK2	CPSF1
DYRK2	WTAP
DYRK2	RBBP5
DYRK2	TAF5
DYRK2	LARP7
DYRK2	TAF2
DYRK2	XRRA1
DYRK2	FIP1L1
DYRK2	WDR82
DYRK2	LARP4
DYRK2	MEPCE
DYRK2	ZC3H18
DYRK2	CLASRP
DYRK2	DDX1
DYRK2	DDA1
DYRK2	SRRT
DYRK2	MOV10
DYRK2	DIABLO
DYRK2	NDE1
DYRK2	CXXC1
DYRK2	ASH2L
DYRK2	PNMA2
DYRK2	G3BP2
DYRK2	SETD1B
DYRK2	ACOT9
DYRK2	CFAP20
CDKL2	MYO1C
CDKL2	MYO1F
CDKL2	MYO1B
CDKL2	DKC1
CDKL2	H2AFY
CDKL2	TP53
CDKL2	NEFL
CDKL2	DSP
CDKL2	DDX5
CDKL2	MCM3
CDKL2	ADD1
CDKL2	MKI67
CDKL2	CAPZA2
CDKL2	SRP9
CDKL2	CAPZA1
CDKL2	ADAR
CDKL2	GNB1
CDKL2	GNB2
CDKL2	SPTBN1
CDKL2	KIF23
CDKL2	CEBPZ
CDKL2	TJP1
CDKL2	MAP4K2
CDKL2	DSG2
CDKL2	CAPRIN1
CDKL2	RRP1B
CDKL2	PDCD11
CDKL2	RRS1
CDKL2	KIF14
CDKL2	PLEC
CDKL2	PCM1
CDKL2	INA
CDKL2	DBN1
CDKL2	GNAS
CDKL2	DHX30
CDKL2	CENPV
CDKL2	KRI1
CDKL2	LSM14A
CDKL2	DDX54
CDKL2	RBM14
CDKL2	PPP1R9B
CDKL2	PKP2
CDKL2	C1orf35
CDKL2	NAT10
CDKL2	DDX47
CDKL2	PNN
CDKL2	RPF2
CDKL2	DDX18
CDKL2	RBM28
CDKL2	GAR1
CDKL2	BCLAF1
CDKL2	CGN
CDKL2	GNG12
CDKL2	LIMA1
CDKL2	MRTO4
CDKL2	DDX52
CDKL2	THRAP3
CDKL2	NOC2L
CDKL2	UTP18
MAP4K1	HAX1
MAP4K1	IRS4
MAP4K1	POLR3A
MAP4K1	SPAG9
MAP4K1	UBR5
MAP4K1	HMGN1
MAP4K1	TCP1
MAP4K1	CAD
MAP4K1	POLR2B
MAP4K1	LONP1
MAP4K1	CCT6A
MAP4K1	PI4KA
MAP4K1	BAG6
MAP4K1	CCT5
MAP4K1	CCT3
MAP4K1	CCT8
MAP4K1	CCT4
MAP4K1	DCAF7
MAP4K1	CCT2
MAP4K1	SQSTM1
MAP4K1	IQGAP2
MAP4K1	DDB1
MAP4K1	DNAJC10
MAP4K1	GCN1L1
MAP4K1	GLG1
MAP4K1	DNAJA3
MAP4K1	MMS19
MAP4K1	CCT7
MAP4K1	RPAP1
MAP4K1	WDR6
MAP4K1	BCLAF1
MAP4K1	THRAP3
SGK3	AIP
SGK3	ANXA5
SGK3	ATP5F1
SGK3	COL4A5
SGK3	PRDX6
SGK3	MAP1B
SGK3	ATP5O
SGK3	CCT5
SGK3	ST13
SGK3	RAB7A
SGK3	MRPL12
SGK3	UBE2M
SGK3	PURA
SGK3	PLOD1
SGK3	CHD3
SGK3	MRPL49
SGK3	DYNC1H1
SGK3	MCM6
SGK3	CHD4
SGK3	SEPT2
SGK3	TRMT1L
SGK3	ERC1
SGK3	CHERP
SGK3	MAPK1IP1L
SGK3	PTCD3
SGK3	ERP44
SGK3	MRPL1
SGK3	CACYBP
SGK3	SGK2
SGK3	MRPL16
SGK3	NCKAP1
SGK3	EXOSC1
ULK4	NDUFA4
ULK4	ZW10
ULK4	UBL4A
ULK4	BAG6
ULK4	SQSTM1
ULK4	FKBP8
ULK4	ATAD3B
ULK4	ERC1
ULK4	RHOT2
ULK4	MTR
ULK4	ISYNA1
ULK4	STK36
ULK4	HSPBP1
ULK4	BAG5
ULK4	SUGT1
ADCK4	DNAJB6
ADCK4	PRKCB
ADCK4	LONP1
ADCK4	SSR1
ADCK4	DNAH12
ADCK4	YME1L1
ADCK4	TRABD
ADCK4	TMEM165
ADCK4	TIMM8B
ADCK4	TIMM13
AURKB	TARSL2
AURKB	CNOT1
AURKB	ZSWIM8
AURKB	AIP
AURKB	PSMD12
AURKB	PSMD14
AURKB	AP3D1
AURKB	POLR3A
AURKB	PSMG1
AURKB	MBD3
AURKB	CNP
AURKB	AGL
AURKB	LONP1
AURKB	MAP1B
AURKB	UTRN
AURKB	ATP5O
AURKB	PSMD7
AURKB	SEC13
AURKB	DCAF7
AURKB	MRPS5
AURKB	MRPS34
AURKB	GTF3C1
AURKB	MRPL28
AURKB	MRPL49
AURKB	BOP1
AURKB	RCN2
AURKB	PTGES3
AURKB	UBE3C
AURKB	MRPL23
AURKB	INF2
AURKB	TSR1
AURKB	EDC4
AURKB	TRMT1L
AURKB	MRPL10
AURKB	ALDH16A1
AURKB	GCN1L1
AURKB	MRPS31
AURKB	PYCR2
AURKB	LTV1
AURKB	NAF1
AURKB	RANBP9
AURKB	SIN3A
AURKB	MRPL4
AURKB	MRPL1
AURKB	WNK1
AURKB	WDR26
AURKB	CACYBP
AURKB	MOV10
AURKB	PPAN
AURKB	MRPL16
AURKB	GLTSCR2
AURKB	KCMF1
AURKB	MRPL27
AURKB	ASH2L
AURKB	RCOR1
AURKB	PNMA2
AURKB	SCML1
AURKB	MACF1
AURKB	ZC3H4
AURKB	SRRM2
AURKB	NCKAP1
PBK	ADAMTS5
SCYL1	CNOT1
SCYL1	SNRPGP15
SCYL1	EIF3D
SCYL1	SMPD2
SCYL1	PRPF6
SCYL1	MBD3
SCYL1	LTF
SCYL1	IQGAP1
SCYL1	SEC13
SCYL1	EIF3E
SCYL1	CDC42
SCYL1	PRB3
SCYL1	NSUN2
SCYL1	MTA1
SCYL1	SEPT2
SCYL1	KLHL12
SCYL1	GIGYF2
SCYL1	LARP4
SCYL1	SND1
SCYL1	EIF3M
SCYL1	CARM1
SCYL1	LSM14A
SCYL1	DDX1
SCYL1	GCN1L1
SCYL1	PRMT1
SCYL1	DDX23
SCYL1	NXF1
SCYL1	MACF1
SCYL1	EIF3L
SCYL1	THRAP3
TSSK2	SERPINA1
TSSK2	APOA1
TSSK2	ORM1
TSSK2	TTR
TSSK2	TF
TSSK2	HSP90AB1
TSSK2	STIP1
TSSK2	FKBP4
TSSK2	FKBP5
TSSK2	PTGES3
TSSK2	HSP90AB4P
TSSK2	CACYBP
TSSK3	PDCD5
TSSK3	TCP1
TSSK3	CANX
TSSK3	CCT5
TSSK3	CCT3
TSSK3	CCT8
TSSK3	CCT4
TSSK3	AK2
TSSK3	CCT2
TSSK3	CCT7
PSKH2	AIP
PSKH2	NDUFA4
PSKH2	POLR3A
PSKH2	RBFOX2
PSKH2	SPAG9
PSKH2	UBR5
PSKH2	GLUD1
PSKH2	CNP
PSKH2	P4HA1
PSKH2	HK1
PSKH2	POLR2E
PSKH2	TUBG1
PSKH2	CANX
PSKH2	EPHB2
PSKH2	PPP2R1B
PSKH2	HADHA
PSKH2	DGKE
PSKH2	COPA
PSKH2	HADHB
PSKH2	CDC42
PSKH2	DYNLT1
PSKH2	PRKDC
PSKH2	CDC42EP1
PSKH2	FKBP4
PSKH2	GTF3C1
PSKH2	DYNC1H1
PSKH2	IQCB1
PSKH2	PTGES3
PSKH2	NDUFA9
PSKH2	HSP90AB4P
PSKH2	NUP188
PSKH2	MRPL10
PSKH2	IQGAP3
PSKH2	SUGP2
PSKH2	DNAJC10
PSKH2	MRPL41
PSKH2	LPCAT1
PSKH2	LARP4B
PSKH2	GCN1L1
PSKH2	DNAJA3
PSKH2	MMS19
PSKH2	SDF2
PSKH2	DNAJC7
PSKH2	MTR
PSKH2	RPAP3
PSKH2	CACYBP
PSKH2	GLTSCR2
PSKH2	COPG2
PSKH2	DDX20
PSKH2	BAG5
PSKH2	STUB1
PSKH2	NOP58
PSKH2	MYO5A
CAMKK2	FEZF1
CAMKK2	MLYCD
CAMKK2	HINT1
CAMKK2	SLC25A1
CAMKK2	YTHDF3
TRIB3	TIMM8A
TRIB3	TCP1
TRIB3	CCT6A
TRIB3	CCT5
TRIB3	CCT3
TRIB3	CCT8
TRIB3	CCT4
TRIB3	SUB1
TRIB3	NOLC1
TRIB3	DDB1
TRIB3	DET1
TRIB3	CAMK1D
TRIB3	MAPKAPK5
TRIB3	CCT7
TRIB3	TIMM8B
TRIB3	TIMM13
TRIB1	PDE8A
TRIB1	DDB1
TP53RK	CLTB
TP53RK	TP53BP1
TP53RK	MAPK1IP1L
TP53RK	DDX54
TP53RK	POLDIP3
TESK2	ILVBL
TESK2	USP9Y
TESK2	IRS4
TESK2	POLR3A
TESK2	UBR5
TESK2	AHSA1
TESK2	CAD
TESK2	POLR2B
TESK2	PI4KA
TESK2	TESK1
TESK2	CDC37
TESK2	HSP90AB4P
TESK2	HSP90AB2P
TESK2	CHPF
TESK2	GCN1L1
TESK2	CPVL
TESK2	C5orf42
TESK2	CACYBP
TESK2	SUGT1
SRPK1	SNRPGP15
SRPK1	MYO1C
SRPK1	NKRF
SRPK1	RRP8
SRPK1	DKC1
SRPK1	SURF6
SRPK1	TF
SRPK1	LTF
SRPK1	SLPI
SRPK1	HSPB1
SRPK1	MPO
SRPK1	ELANE
SRPK1	GSTP1
SRPK1	CALML3
SRPK1	PTDSS1
SRPK1	CEBPZ
SRPK1	PRB3
SRPK1	MAP4K2
SRPK1	CBX3
SRPK1	PRPF4B
SRPK1	URB2
SRPK1	RRP1B
SRPK1	PDCD11
SRPK1	RRS1
SRPK1	KIAA0020
SRPK1	HP1BP3
SRPK1	ATAD3B
SRPK1	FTSJ3
SRPK1	PELP1
SRPK1	KRI1
SRPK1	DNAJC9
SRPK1	ZG16B
SRPK1	SNRNP40
SRPK1	DDX27
SRPK1	EBNA1BP2
SRPK1	C7orf50
SRPK1	NIFK
SRPK1	GTPBP4
SRPK1	CCDC86
SRPK1	RPF2
SRPK1	PPAN
SRPK1	RBM28
SRPK1	GAR1
SRPK1	MRTO4
SRPK1	DIMT1
SRPK1	LAS1L
MAP3K14	POLRMT
MAP3K14	RRP8
MAP3K14	DNAJB6
MAP3K14	SURF6
MAP3K14	MKI67
MAP3K14	RRP1B
MAP3K14	PDCD11
MAP3K14	DDX54
MAP3K14	ZFR
MAP3K14	EBNA1BP2
MAP3K14	PPAN
MAP3K14	DDX18
MAP3K14	RBM28
MAP3K14	AKAP8L
MAP3K14	MAGED2
MAP3K14	NOC2L
MAP3K14	UTP18
PIK3R4	PFDN1
PIK3R4	TCP1
PIK3R4	DNAJB1
PIK3R4	STIP1
PIK3R4	CCT6A
PIK3R4	CCT5
PIK3R4	CCT3
PIK3R4	CCT8
PIK3R4	CCT4
PIK3R4	VBP1
PIK3R4	CCT2
PIK3R4	PFDN5
PIK3R4	CCT7
PIK3R4	PFDN4
PIK3R4	PFDN2
PKMYT1	ATP1A1
PKMYT1	CANX
PKMYT1	HADHA
PKMYT1	BAG6
PKMYT1	HADHB
PKMYT1	BASP1
PKMYT1	BRI3BP
PKMYT1	GLG1
PKMYT1	VAPA
MAP3K3	CCT3
MAP3K3	CCT8
MAP3K3	CCT4
MAP3K3	CCT7
VRK1	ACACB
VRK1	CPVL
EIF2AK1	ARRB2
EIF2AK1	FKBP5
EIF2AK1	CACYBP
EIF2AK1	STUB1
RIOK1	WIZ
RIOK1	EPB41L3
RIOK1	FARP1
MKNK1	SEC16A
MKNK1	UBR5
MKNK1	NUP214
MKNK1	FRK
MKNK1	CPSF6
MKNK1	CCDC149
MKNK1	PUSL1
MKNK1	CAMKK1
MKNK1	NUP210
MKNK1	RAD50
MKNK1	MKNK2
RIOK2	H2AFY
RIOK2	LMNA
RIOK2	SNRPA
RIOK2	SNRPC
RIOK2	H2AFZ
RIOK2	CLTCL1
RIOK2	DBN1
RIOK2	HIST2H2AC
RIOK2	BCLAF1
RIOK2	STOML2
RIOK2	RALY
RIOK2	ACIN1
RIOK2	C14orf166
CDK19	MCM3
CDK19	MCM4
CDK19	MAPK8
CDK19	MCM2
CDK19	NCAPD2
CDK19	CDC37
CDK19	LSM14A
TSSK6	HAX1
TSSK6	AIP
TSSK6	POLR3A
TSSK6	UBR5
TSSK6	HLA-C
TSSK6	CAD
TSSK6	POLR2B
TSSK6	CHD4
TSSK6	HSD17B12
TSSK6	C9orf114
TSSK6	LSM14A
TSSK6	LARP4B
TSSK6	MTR
TSSK6	MAPKAP1
TSSK6	CLPB
TSSK6	TRABD
TSSK6	BCLAF1
TSSK6	THRAP3
TSSK1B	AIP
TSSK1B	TIMM8A
TSSK1B	ATP5H
TSSK1B	HSP90AB1
TSSK1B	MCM3
TSSK1B	TPP2
TSSK1B	STIP1
TSSK1B	ST13
TSSK1B	RAB7A
TSSK1B	AK2
TSSK1B	ATP5J2
TSSK1B	PRKCE
TSSK1B	FKBP4
TSSK1B	FKBP5
TSSK1B	DCTN2
TSSK1B	PTGES3
TSSK1B	CACYBP
TSSK1B	BAG5
TSSK1B	STUB1
TSSK1B	NUDC
TSSK1B	SUGT1
PINK1	COL15A1
PINK1	TMEM55A
PINK1	CLPB
WNK3	PIK3C2A
WNK3	GAK
WNK3	SEC16A
WNK3	HIP1R
WNK3	AP2A2
WNK3	AP2A1
WNK3	CLTB
WNK3	IGF2R
WNK3	EPS15
WNK3	CLTCL1
WNK3	AP2B1
WNK3	CLTC
WNK3	AP1B1
WNK3	CLINT1
WNK3	RALBP1
WNK3	STON2
WNK3	AP2M1
WNK3	REPS1
WNK3	CPVL
WNK3	BMP2K
WNK3	VTI1B
WNK3	WNK2
WNK3	EPN1
STK33	SCO2
STK33	GLUD1
STK33	HCK
STK33	CNP
STK33	CAD
STK33	CANX
STK33	BSG
STK33	FKBP5
STK33	FAR1
STK33	YME1L1
STK33	SDF2L1
PRKD2	ACOT7
PRKD2	PDCD5
PRKD2	HPRT1
PRKD2	GOT2
PRKD2	PGK1
PRKD2	ALDH2
PRKD2	P4HB
PRKD2	ANXA5
PRKD2	ESD
PRKD2	PCNA
PRKD2	ETFA
PRKD2	EZR
PRKD2	CBR1
PRKD2	UBA1
PRKD2	PPIB
PRKD2	AHCY
PRKD2	MSN
PRKD2	TKT
PRKD2	PRDX6
PRKD2	SHMT2
PRKD2	RDX
PRKD2	MDH1
PRKD2	MDH2
PRKD2	HINT1
PRKD2	GDI2
PRKD2	PGD
PRKD2	ARHGDIA
PRKD2	PSME3
PRKD2	EIF5A
PRKD2	TMSB10
PRKD2	BASP1
PRKD2	FKBP4
PRKD2	GLO1
PRKD2	TXNDC5
PRKD2	PARK7
STRADB	TIMM8A
STRADB	CCT6A
STRADB	CCT5
STRADB	CCT8
STRADB	CCT4
STRADB	STUB1
STRADB	SUGT1
STRADB	TIMM13
NUAK2	AP3D1
NUAK2	EPB41L2
NUAK2	AHCYL1
NUAK2	SFN
NUAK2	PIP4K2A
NUAK2	CSNK2B
NUAK2	TCOF1
NUAK2	FIP1L1
NUAK2	VANGL1
NUAK2	AP3S1
NUAK2	USP9X
NUAK2	NAF1
NUAK2	AGAP3
NUAK2	PPP1R9B
NUAK2	C1orf35
NUAK2	LACRT
NUAK2	TRIOBP
NUAK2	WDR6
NUAK2	PPP1R9A
NUAK2	SRRM2
NUAK2	EPB41L3
MYLK2	CDK1
MYLK2	POLR2A
MYLK2	POLR2B
MYLK2	ACAA2
MYLK2	GNB2L1
MYLK2	CDK16
MYLK2	YME1L1
MYLK2	TES
SLK	ENSA
SLK	GYS1
SLK	RRM2
SLK	GYG1
SLK	SUB1
SLK	MAP2K1
SLK	EXOSC2
SLK	MAPK1IP1L
SLK	DDX27
SLK	CDC5L
SLK	RBM28
SLK	DAPK2
TAOK3	STATH
TAOK3	TAOK1
TAOK3	BTBD1
TAOK3	TAOK2
TAOK3	USP15
SRMS	HAX1
SRMS	P4HA2
SRMS	LONP1
SRMS	MTR
SRMS	PTRH2
PLK3	AIP
PLK3	PURA
PLK3	LARP1
PLK3	LARP4
PLK3	TRMT61A
PLK3	SRPK1
PLK3	MOV10
PLK3	MRTO4
POMK	ESYT2
POMK	ILVBL
POMK	GPR89B
POMK	PGRMC1
POMK	PSMD14
POMK	SCD
POMK	EI24
POMK	CDIPT
POMK	CLGN
POMK	XPO1
POMK	SCAMP2
POMK	PGRMC2
POMK	SURF4
POMK	SPTLC1
POMK	TM9SF1
POMK	XPOT
POMK	ACSL4
POMK	ATP5H
POMK	ATP5L
POMK	CPD
POMK	RTN3
POMK	SMC2
POMK	ACSL3
POMK	CDS2
POMK	GLUD1
POMK	HLA-A
POMK	RPN2
POMK	ATP1A1
POMK	SLC3A2
POMK	SRPR
POMK	HLA-C
POMK	CLU
POMK	IMPDH2
POMK	ATP2A2
POMK	ATP5J
POMK	M6PR
POMK	TUBG1
POMK	ATP5F1
POMK	CERS1
POMK	ATP5D
POMK	KIF5B
POMK	MAN1A1
POMK	COPB2
POMK	BSG
POMK	FDFT1
POMK	GGCX
POMK	DDOST
POMK	HADHA
POMK	LRPPRC
POMK	STT3A
POMK	ATP5O
POMK	ARCN1
POMK	PSMD8
POMK	PTDSS1
POMK	FASN
POMK	ALDH3A2
POMK	PSMD7
POMK	DGKE
POMK	COPB1
POMK	COPA
POMK	SLC16A1
POMK	CSE1L
POMK	HADHB
POMK	ATP5E
POMK	SEC61B
POMK	SEC61A1
POMK	PSMC1
POMK	RPS15
POMK	PRKDC
POMK	SLC25A11
POMK	ASPH
POMK	LMAN2
POMK	HDAC1
POMK	DYNC1H1
POMK	SLC39A14
POMK	PON2
POMK	TMED2
POMK	DHCR24
