protein1	protein2
ACVR1	TTC17
ACVR1	TTC27
ACVR1	UBA52
ACVR1	UBB
ACVR1	UBC
ACVR1	UHMK1
ACVR1	USP21
ACVR1	USP39
ACVR1	WDR61
ACVR2A	AKT2
ACVR2A	C16orf58
ACVR2A	ERBIN
ACVR2A	HAVCR2
ACVR2A	MAP3K7CL
ACVR2A	MAP3K7
ACVR2A	MRAP2
ACVR2A	TCTEX1D4
ACVR2A	TNFRSF10A
ACVR2B	ACVR1C
ACVR2B	AKT2
ACVR2B	AKT3
ACVR2B	C16orf58
ACVR2B	CNGA3
ACVR2B	ERBIN
ACVR2B	GINM1
ACVR2B	IL4R
ACVR2B	KIR3DL2
ACVR2B	MANSC1
ACVR2B	MAP3K7CL
ACVR2B	MAP3K7
ACVR2B	MXD4
ACVR2B	PCDHGA5
ACVR2B	PCDHGB4
ACVR2B	PDGFRB
ACVRL1	AKT2
ACVRL1	AKT3
ACVRL1	CSNK2B
ACVRL1	MAP3K7CL
ACVRL1	MAP3K7
ACVRL1	TGFBR2
ADCK1	APLNR
ADCK1	ATP5PO
ADCK1	C5AR2
ADCK1	CHRM4
ADCK1	FAM131B
ADCK1	GLMP
ADCK1	GRPR
ADCK1	HMGA1
ADCK1	HNRNPDL
ADCK1	LYPD4
ADCK1	MKNK2
ADCK1	MOV10
ADCK1	NXF1
ADCK1	OPRM1
ADCK1	P2RX5
ADCK1	RAB1A
ADCK1	SLC15A1
ADCK1	SLC18A1
ADCK1	VIPR2
ADCK2	IL17RC
ADCK2	KCNA5
ADCK2	LRRC8B
ADCK2	NMUR2
ADCK2	NRDC
ADCK2	SLC4A8
ADCK2	TMCO3
ADCK2	YWHAQ
ADCK2	ZNRF4
ADCK5	ATF1
ADCK5	NOTCH2NLA
ADK	AGR2
ADK	FGB
ADPGK	CSGALNACT2
ADPGK	DLK1
ADPGK	FAM234B
ADPGK	GDF9
ADPGK	GYG1
ADPGK	GYS1
ADPGK	MLXIPL
ADPGK	PPAT
ADPGK	PRKAA1
ADPGK	PRKAA2
ADPGK	PRKAB1
ADPGK	PRKAB2
ADPGK	PRKAG1
ADPGK	PRKAG2
ADPGK	PRKAG3
ADPGK	SLC39A12
ADPGK	TADA3
ADPGK	TCAP
ADPGK	TRIM25
ADPGK	UBQLN4
ADPGK	ZNF598
AK1	B3GLCT
AK1	BRD4
AK1	FHL2
AK1	IDH1
AK1	MRE11
AK1	NXF1
AK1	TERF1
AK1	TERF2IP
AK1	TINF2
AK1	TRIM63
AK1	UTP4
AK2	CEP290
AK2	COX14
AK2	CUL3
AK2	EIF1B
AK2	EPB41
AK2	GH1
AK2	HDAC6
AK2	HNF1A
AK2	HNF4A
AK2	IKBKE
AK2	JUN
AK2	LRRK2
AK2	MCC
AK2	MEPCE
AK2	PAK2
AK2	PDHA1
AK2	SBF2
AK2	TRAF6
AK2	VCAM1
AK3	ELAVL1
AK3	MGST3
AK3	MRM1
AK3	TAF1
AK4	DLD
AK4	EGFR
AK4	ELAVL1
AK4	LRRK2
AK4	MGST3
AK4	MRM1
AK4	PDK1
AK4	TRIM25
AK5	C7orf26
AK5	NUCKS1
AK5	RNF114
AK5	STRN4
AK6	CEBPB
AK6	DUSP12
AK6	DUSP13
AK6	DUSP21
AK6	DUSP23
AK6	DUSP28
AK6	EEF1A1
AK6	ELF3
AK6	FBLN1
AK6	GALNT6
AK6	HSF1
AK6	KPNA1
AK6	KPNA6
AK6	LRRK2
AK6	MYCL
AK6	NDRG1
AK6	RBM48
AK6	RNF138
AK6	SF3B3
AK6	TFEB
AK6	TP53
AK6	TRPC5
AK6	TRRAP
AK6	UBA1
AK6	UNC93B1
AK8	CCDC102B
AK8	HAUS1
AK8	RBM39
AK8	SMG9
AK8	SYT17
AK8	ZMAT2
AK9	CUL4A
AK9	PEA15
AKT1	AKT3
AKT1	ALPP
AKT1	AOC1
AKT1	ARAF
AKT1	ARHGAP19
AKT1	ASXL2
AKT1	AURKA
AKT1	BLVRA
AKT1	BTK
AKT1	BUB1
AKT1	C1QA
AKT1	CAMK2D
AKT1	CAMKK1
AKT1	CAPN11
AKT1	CBLC
AKT1	CBY1
AKT1	CDCA7
AKT1	CDK1
AKT1	CDK2
AKT1	CDK4
AKT1	CDK5R1
AKT1	CDK6
AKT1	CDKN2A
AKT1	CDKN2B
AKT1	CDKN2C
AKT1	CHEK2
AKT1	CLK2
AKT1	CSNK2A1
AKT1	CSNK2B
AKT1	DHRS2
AKT1	DUSP13
AKT1	EDC3
AKT1	EGFR
AKT1	EIF2AK3
AKT1	EPHA2
AKT1	ERBB2
AKT1	FGFR1
AKT1	FGFR4
AKT1	FOXO6
AKT1	GUCY1A2
AKT1	GUCY1B2
AKT1	HIST1H3A
AKT1	HIST1H3B
AKT1	HIST1H3C
AKT1	HIST1H3D
AKT1	HIST1H3E
AKT1	HIST1H3F
AKT1	HIST1H3G
AKT1	HIST1H3H
AKT1	HIST1H3I
AKT1	HIST1H3J
AKT1	HJURP
AKT1	IGF1R
AKT1	ILF3
AKT1	ILK
AKT1	INSR
AKT1	ITIH1
AKT1	ITIH2
AKT1	LATS2
AKT1	LRRK2
AKT1	MAP2K3
AKT1	MAP2K5
AKT1	MAP2K6
AKT1	MAP3K11
AKT1	MAP3K14
AKT1	MAP3K1
AKT1	MAPK1
AKT1	MAPK3
AKT1	MAPK8
AKT1	MAPK9
AKT1	MARCO
AKT1	MATK
AKT1	MESD
AKT1	MKNK1
AKT1	MYC
AKT1	NUAK1
AKT1	P2RX3
AKT1	PCDH19
AKT1	PCK2
AKT1	PDGFRA
AKT1	PDK1
AKT1	PDK2
AKT1	PDPK1
AKT1	PFKFB2
AKT1	PFKFB3
AKT1	PHB
AKT1	PIK3CA
AKT1	PIKFYVE
AKT1	PINK1
AKT1	PKM
AKT1	PKN1
AKT1	PRKAA1
AKT1	PRKCQ
AKT1	PRKCZ
AKT1	PRKDC
AKT1	PRPF8
AKT1	RALGAPA2
AKT1	RPL23
AKT1	RPS6KB1
AKT1	S100A13
AKT1	S100A2
AKT1	SOAT2
AKT1	STK11
AKT1	STK3
AKT1	SUPT6H
AKT1	SYK
AKT1	TEK
AKT1	TIFA
AKT1	TNK2
AKT1	TNNC1
AKT1	TP53RK
AKT1	UCK2
AKT1	VEGFA
AKT1	WNK1
AKT2	ARAF
AKT2	BRAF
AKT2	CALD1
AKT2	CBY1
AKT2	CHUK
AKT2	CSK
AKT2	EDC3
AKT2	EGFR
AKT2	ELP1
AKT2	FOXO6
AKT2	GSK3A
AKT2	GSK3B
AKT2	HIST1H3B
AKT2	HIST1H3C
AKT2	HIST1H3D
AKT2	HIST1H3E
AKT2	HIST1H3F
AKT2	HIST1H3G
AKT2	HIST1H3H
AKT2	HIST1H3I
AKT2	HIST1H3J
AKT2	HTRA2
AKT2	KHSRP
AKT2	LRRK2
AKT2	MAP3K5
AKT2	MAP3K8
AKT2	MTOR
AKT2	NINL
AKT2	NIN
AKT2	PDHA1
AKT2	PDPK1
AKT2	PFKP
AKT2	PICK1
AKT2	PPIF
AKT2	PRKCZ
AKT2	PRKDC
AKT2	RAF1
AKT2	RORC
AKT2	RPS6KB2
AKT2	TMEM17
AKT2	TRIB3
AKT2	WIPF1
AKT3	ARAF
AKT3	FOXO6
AKT3	GSK3A
AKT3	HMGCS1
AKT3	MAP3K8
AKT3	PHKA1
AKT3	RAF1
AKT3	RORC
ALDH18A1	ARID5B
ALDH18A1	BCL2L14
ALDH18A1	CBX1
ALDH18A1	CDK2
ALDH18A1	CENPV
ALDH18A1	CHD2
ALDH18A1	DCP1A
ALDH18A1	EGLN3
ALDH18A1	ESR1
ALDH18A1	FAM120C
ALDH18A1	FASTKD3
ALDH18A1	ILF3
ALDH18A1	INO80B
ALDH18A1	LATS2
ALDH18A1	LRRK2
ALDH18A1	MOV10
ALDH18A1	MTHFD1
ALDH18A1	MYC
ALDH18A1	NFATC2
ALDH18A1	NR3C1
ALDH18A1	NT5C3A
ALDH18A1	NTRK1
