key	value
PAK6	['ROCK_group', 'PKB_group']
PAK1	['ROCK_group', 'PKA_group', 'RSK_group', 'PKB_group', 'CDK_group', 'MAPK_group', 'PKC_group', 'MAP2K_group']
LATS1	['PKA_group', 'PKB_group']
RAF1	['PKA_group', 'PKB_group', 'RSK_group', 'MAP3K_group', 'MAP2K_group', 'PAK_group']
NDR1	['PKB_group']
NDR2	['PKB_group']
MST2	['PKB_group', 'AMPK_group']
CDK7	['MAPK_group', 'RSK_group', 'GSK-3_group']
CDK3	['MAPK_group', 'RSK_group']
CDK2	['MAPK_group', 'RSK_group']
P38G	['CDK_group', 'GSK-3_group']
CDK9	['GSK-3_group', 'PKB_group']
ATM	['CDK_group', 'GSK-3_group', 'CaM-KII_group', 'RSK_group', 'SGK_group', 'AMPK_group']
Lmr2	['PKA_group', 'PKG/cGK_group', 'CDK_group', 'PHK_group']
CAMK1A	['RSK_group', 'AMPK_group', 'PKA_group', 'PKB_group']
VRK1	['CK1_group', 'PKA_group']
DNAPK	['CK1_group', 'PAK_group']
CAMKK1	['AMPK_group', 'CaM-KI_group']
LKB1	['AMPK_group', 'RSK_group']
CAMK2B	['AMPK_group']
MST3	['AMPK_group']
MLK3	['AMPK_group']
CAMKK2	['AMPK_group']
MST4	['AMPK_group']
MST1	['AMPK_group']
BRSK1 iso2	['AMPK_group']
CAMK4	['CaM-KII_group', 'RSK_group', 'SGK_group', 'IKK_group']
MSK2	['CaM-KII_group', 'SGK_group', 'PKB_group', 'MAPK_group']
TSSK4	['CaM-KII_group', 'RSK_group', 'SGK_group']
Cot	['CaM-KII_group', 'RSK_group', 'SGK_group', 'MAP2K_group', 'ROCK_group', 'PKA_group']
RSK3	['CaM-KII_group', 'SGK_group', 'PKB_group']
MSK1	['CaM-KII_group', 'SGK_group', 'PKB_group', 'MAPK_group']
CK1G1	['IKK_group']
AMPKA2	['IKK_group']
TAK1	['IKK_group', 'MARK_group', 'AMPK_group']
VRK2	['IKK_group']
MEKK1	['IKK_group']
TBK1	['PHK_group']
PKN1	['PHK_group']
Syk	['SRC_group']
Pyk2	['SRC_group']
Abl	['SRC_group']
DYRK2	['MAPK_group', 'JNK_group']
P38B	['GSK-3_group', 'JNK_group']
P38D	['GSK-3_group', 'CDK_group']
